NODES GPUS_USED SIZE FEATURES TIME(s)
1 1 10000 2 1.2659
1 1 100000 2 1.6138
1 1 1000000 2 7.1363
1 1 10000000 2 94.2285
1 1 10000 4 2.5868
1 1 100000 4 3.2777
1 1 1000000 4 14.9204
1 1 10000000 4 195.2838
1 1 10000 6 4.5891
1 1 100000 6 5.8816
1 1 1000000 6 24.4720
1 1 10000000 6 305.0723
1 1 10000 8 7.5695
1 1 100000 8 9.2742
1 1 1000000 8 35.8309
1 1 10000000 8 422.3676
1 1 10000 10 11.5011
1 1 100000 10 13.9468
1 1 1000000 10 48.3493
1 1 10000000 10 544.1438
1 1 10000 12 16.8956
1 1 100000 12 19.1518
1 1 1000000 12 63.4529
1 1 10000000 12 674.7007
1 1 10000 14 22.2264
1 1 100000 14 25.9018
1 1 1000000 14 79.0427
1 1 10000000 14 822.9204
1 1 10000 16 28.8184
1 1 100000 16 32.9326
1 1 1000000 16 98.7537
1 1 10000000 16 968.3560
1 1 10000 18 37.2242
1 1 100000 18 41.1008
1 1 1000000 18 117.6786
1 1 10000000 18 1130.9740
1 1 10000 20 45.5798
1 1 100000 20 51.9798
1 1 1000000 20 138.6104
1 1 10000000 20 1287.3794
