NODES GPUS_USED SIZE FEATURES TIME(s)
1 4 10000 2 1.3614
1 4 100000 2 1.7590
1 4 1000000 2 7.0408
1 4 10000000 2 94.2406
1 4 10000 4 2.4268
1 4 100000 4 3.2790
1 4 1000000 4 14.0535
1 4 10000000 4 194.0218
1 4 10000 6 2.8908
1 4 100000 6 4.0106
1 4 1000000 6 18.9459
1 4 10000000 6 294.8337
1 4 10000 8 3.6535
1 4 100000 8 5.0798
1 4 1000000 8 28.7034
1 4 10000000 8 397.0119
1 4 10000 10 4.9792
1 4 100000 10 6.4308
1 4 1000000 10 36.5316
1 4 10000000 10 493.9497
1 4 10000 12 6.2105
1 4 100000 12 8.1803
1 4 1000000 12 44.4492
1 4 10000000 12 605.9166
1 4 10000 14 7.8481
1 4 100000 14 10.1223
1 4 1000000 14 53.4217
1 4 10000000 14 712.2171
1 4 10000 16 9.5170
1 4 100000 16 12.3403
1 4 1000000 16 63.0178
1 4 10000000 16 822.4740
1 4 10000 18 11.8748
1 4 100000 18 14.4947
1 4 1000000 18 71.2867
1 4 10000000 18 941.1710
1 4 10000 20 14.0094
1 4 100000 20 17.3441
1 4 1000000 20 83.3150
1 4 10000000 20 1048.9273
