NODES GPUS_USED SIZE FEATURES TIME(s)
1 8 10000 2 1.4246
1 8 100000 2 1.7278
1 8 1000000 2 6.5747
1 8 10000000 2 83.8197
1 8 10000 4 3.0208
1 8 100000 4 3.7420
1 8 1000000 4 14.4573
1 8 10000000 4 199.0605
1 8 10000 6 4.1232
1 8 100000 6 4.8228
1 8 1000000 6 21.0651
1 8 10000000 6 304.8040
1 8 10000 8 4.4903
1 8 100000 8 5.6891
1 8 1000000 8 29.1978
1 8 10000000 8 412.3528
1 8 10000 10 5.2308
1 8 100000 10 6.7740
1 8 1000000 10 33.4133
1 8 10000000 10 512.4298
1 8 10000 12 5.9651
1 8 100000 12 8.0367
1 8 1000000 12 40.3793
1 8 10000000 12 621.7524
1 8 10000 14 6.5666
1 8 100000 14 8.8419
1 8 1000000 14 48.1659
1 8 10000000 14 726.3128
1 8 10000 16 7.4410
1 8 100000 16 10.1837
1 8 1000000 16 60.9814
1 8 10000000 16 848.4240
1 8 10000 18 8.6825
1 8 100000 18 11.5701
1 8 1000000 18 69.1203
1 8 10000000 18 944.9769
1 8 10000 20 10.0118
1 8 100000 20 12.8123
1 8 1000000 20 78.5129
1 8 10000000 20 1071.2210
